"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Aug 10 03:41:33 UTC 2025","Sun Aug 10 03:41:48 UTC 2025","14959","","AdvancedReqnRollTest.Features.CTMOrderFunctionalitiesFeature","","AdvancedReqnRollTest.Features.CTMOrderFunctionalitiesFeature","","GetOrderUsingClearConnectMethod",""
"failed","Sun Aug 10 03:41:18 UTC 2025","Sun Aug 10 03:41:33 UTC 2025","14957","","AdvancedReqnRollTest.Features.CTMOrderFunctionalitiesFeature","","AdvancedReqnRollTest.Features.CTMOrderFunctionalitiesFeature","","CreateANewPerDiemOrder",""
"passed","Sun Aug 10 03:41:48 UTC 2025","Sun Aug 10 03:41:57 UTC 2025","8517","","AdvancedReqnRollTest.Features.CTMTempProfilePageFunctionalitiesFeature","","AdvancedReqnRollTest.Features.CTMTempProfilePageFunctionalitiesFeature","","CreateANewTempRecord",""
"passed","Sun Aug 10 03:40:44 UTC 2025","Sun Aug 10 03:41:16 UTC 2025","32435","","AdvancedReqnRollTest.Features.CTMClientProfilePageFunctionalitiesFeature","","AdvancedReqnRollTest.Features.CTMClientProfilePageFunctionalitiesFeature","","CreateANewClientRecord",""
"passed","Sun Aug 10 03:41:16 UTC 2025","Sun Aug 10 03:41:18 UTC 2025","2110","","AdvancedReqnRollTest.Features.CTMLoginPageFeature","","AdvancedReqnRollTest.Features.CTMLoginPageFeature","","MainPageVerification",""
